id,anoFabricacao,cidade,quantidade,siglaEstado,marca,modelo
47,,BARREIRINHAS,16,MA,CHEVROLET,CLASSIC LS
48,2019,,508,MG,,CB250F TWISTER CBS
49,2004,RIO VERDE,12,,FORD,ECOSPORT XLT 1.6L
50,2009,RIO DE JANEIRO,27,RJ,HARLEY DAVIDSON,FLSTF
51,2019,NOVA IGUACU,13,RJ,,YARIS HB XLS15 AT
52,1997,TRES RIOS,11,,,
53,2001,MANACAPURU,20,AM,,CELTA
54,1990,ANAPOLIS,11,GO,GM,OPALA DIPLOMATA SE
55,2001,RIO DAS OSTRAS,20,RJ,GM,CELTA
56,,ITAGUARA,18,MG,FIAT,
57,,,28,,HONDA,CG 150 TITAN KS
58,,,11,RJ,,
59,,ANGRA DOS REIS,12,RJ,,NOVO FOX TL MA
60,1989,CAMPO GRANDE,49,MS,GM,MONZA CLASSIC SE
61,2010,NOVA SERRANA,431,MG,,CG 150 FAN ESI
62,2004,,420,,,CG 150 TITAN KS
63,2012,,32,MG,,
64,1987,JABOATAO DOS GUARARAPES,11,,,L 708 E
65,1983,OLINDA,10,PE,,
66,2016,SAO JOSE DE RIBAMAR,10,MA,FIAT,PUNTO ATTRACTIVE
67,1991,BAIXO GUANDU,19,,HONDA,CG 125 TODAY
68,,,22,PR,FIAT,
69,,IRARA,19,BA,,CELTA
70,1999,,29,RJ,,
71,2002,CABO FRIO,19,RJ,,CELTA 3 PORTAS
72,2002,NOVA AURORA,14,,,C100 BIZ ES
73,2017,MONTANHA,15,ES,,NXR 160 BROS
74,2015,PIRAQUARA,13,PR,HONDA,CG150 FAN ESDI
75,2005,,22,MT,,GOL 1.0
76,2008,,340,PE,DAFRA,SPEED 150
77,2012,,19,MG,CHEVROLET,
78,2009,,11,,HONDA,CIVIC LXS FLEX
79,2013,,14,MG,YAMAHA,
80,2008,,22,,HONDA,CG 125 FAN
81,2006,CASCAVEL,37,,,SAVEIRO 1.6
82,1993,,25,MG,GM,OMEGA GLS
83,,,14,,,CG 160 TITAN EX
84,2006,JACOBINA,43,BA,,
85,2013,,332,PI,HONDA,CG 150 FAN ESI
86,1991,ARACAJU,21,,VW,PARATI CL
87,1996,,10,PR,VW,PARATI CL 1.8 MI
88,2016,MUCAMBO,13,CE,,
89,2014,,30,MG,,
90,2019,CAMACARI,35,,,ATEGO 1419
91,2014,,13,MA,,CG 150 TITAN ESD
92,2014,,10,BA,FORD,FIESTA HA 1.5L S
93,2016,COLINAS,25,MA,HONDA,BIZ 125
94,2005,,19,,M.BENZ,712 CHAVANTE BRUT
95,2011,CUIABA,24,MT,HONDA,FIT LX FLEX
96,,CAMBUI,25,MG,VW,GOL 1000
97,,SOBRAL,300,CE,HONDA,NXR160 BROS ESDD
98,2009,,17,,,
99,,CASTANHAL,298,,,POP100
100,2021,MANAUS,25,AM,,X1 S20I ACTIVEFLEX
101,1968,PERDOES,19,MG,,FUSCA 1300
102,2005,ARACAJU,23,SE,,
103,2016,,23,PE,,
104,2013,LUCAS DO RIO VERDE,18,MT,,NOVO GOL 1.6
105,2004,COLNIZA,28,,YAMAHA,
106,2016,,35,RJ,,VERSA 16 SV
107,2011,,10,PR,CHEVROLET,
108,,,10,MS,,
109,1974,,21,PR,VW,
110,1980,TRES LAGOAS,11,MS,FIAT,147
111,1994,CAMPO GRANDE,15,MS,VW,
112,1998,FORTALEZA,281,CE,,GOL SPECIAL
113,2007,PACO DO LUMIAR,11,MA,FIAT,PALIO ELX FLEX
114,,CARATINGA,22,MG,,
115,,CACHOEIRO DE ITAPEMIRIM,10,ES,VW,POLO 1.6
116,,NOVA IGUACU,22,RJ,,
117,1996,IBATIBA,10,ES,,
118,,,36,,VW,FUSCA 1500
119,2014,,18,,HONDA,CG 125 FAN ESD
120,2014,CACHOEIRO DE ITAPEMIRIM,14,,HONDA,FIT CX FLEX
121,2015,RIO DE JANEIRO,255,,,PUNTO ATTRACTIVE
122,1974,PIEN,12,PR,VW,
123,2006,,19,BA,GM,ASTRA SEDAN ADVANTAGE
124,2021,,12,RJ,,
125,2014,,252,AC,HONDA,
126,2013,BARRA DA ESTIVA,25,BA,,
127,,,13,MG,,
128,2005,VILHENA,12,RO,FORD,FIESTA SEDAN1.6FLEX
129,1998,,12,BA,,KOMBI
130,2013,ALAGOINHAS,13,BA,DAFRA,
131,1998,CORONEL FABRICIANO,26,MG,GM,
132,2012,NOVO SAO JOAQUIM,13,MT,,
133,1981,PIRACANJUBA,10,GO,VW,
134,2017,,20,CE,HONDA,
135,,RIO DE JANEIRO,12,RJ,,
136,,,11,MG,FIAT,PALIO FIRE
137,1999,SAO LUIS,11,MA,GM,
138,,BELEM,20,PA,FIAT,MAREA SX
139,,MACAU,23,RN,HONDA,
140,2008,ITAUNA,237,MG,,CG 150 TITAN KS
141,2003,CARIACICA,36,ES,YAMAHA,
142,2013,,51,CE,,L200 TRITON HPE D
143,,,24,MG,HONDA,CG150 FAN ESDI
144,,PENAFORTE,50,CE,HONDA,
145,,IPATINGA,50,MG,HONDA,BIZ 125 ES
146,,CAMPOS DOS GOYTACAZES,230,RJ,,FUSCA
147,,MANAUS,229,AM,,GOL CL
148,2011,QUATIGUA,12,PR,HONDA,
149,1997,,225,,,
150,2007,,14,GO,SUNDOWN,HUNTER 100
151,,IVATE,20,PR,,
152,1996,RIO PRETO,29,MG,VW,
153,2019,GOVERNADOR VALADARES,19,MG,FORD,
154,1998,PITANGUI,45,MG,,
155,2008,,34,ES,,CG 125 FAN
156,2005,,13,AM,HONDA,NXR150BROS CARGO K
157,2019,MACEIO,219,AL,HONDA,XRE 300 ABS
158,,CARPINA,14,PE,VW,
159,2015,ITABORAI,32,,,SIENA ATTRACTIV 1.4
160,2021,,17,MT,CHEV,TRACKER 12T A PR
161,1984,,12,MG,,
162,,PORTO DA FOLHA,20,SE,HONDA,
163,,NATAL,34,RN,HONDA,
164,2018,DIAS D'AVILA,14,BA,,
165,,,22,MG,HONDA,NXR160 BROS ESD
166,2020,PAULISTA,211,PE,,
167,2011,SAO TOME,13,PR,HONDA,BIZ 125 ES
168,2006,MARIO CAMPOS,14,MG,,
169,1988,CAMPOS DOS GOYTACAZES,38,,FORD,ESCORT XR3
170,2010,,23,RJ,HONDA,NXR150BROS MIX ESD
171,2020,CURURUPU,12,,HONDA,BIZ 125
172,2007,,10,TO,HONDA,BIZ 125 ES
173,1994,RIO DE JANEIRO,205,RJ,,CITROEN ZX 2I VOLC
174,2007,CAPELA,12,SE,VW,GOL 1.0
175,2011,CODO,204,MA,,
176,1979,VARGINHA,24,MG,VW,PASSAT
177,2001,,20,RR,,S10 DE LUXE 2.8 D
178,,SENADOR FIRMINO,10,,HONDA,CG150 FAN ESDI
179,1998,,19,PE,GM,CORSA WIND
180,2010,BRASILIA,202,DF,,VOYAGE 1.6
181,2015,VILA VELHA,11,ES,FORD,KA SEL 1.5 HA
182,,DUQUE DE CAXIAS,13,RJ,,ELBA S
183,2003,SAO JOAO DO PARAISO,32,MG,HONDA,CG 125 TITAN KSE
184,2007,,13,,FORD,FIESTA FLEX
185,,,14,MG,VOLVO,
186,1993,MAGE,32,RJ,VW,
187,1972,CASCAVEL,198,PR,VW,FUSCA 1500
188,1996,,12,MG,FIAT,UNO MILLE EP
189,1991,,13,PR,,SAO CARLOS C-1
190,2005,,10,PR,,IDEA ELX FLEX
191,2008,VILA VELHA,196,ES,VW,GOL 1.0
192,2016,,10,CE,HONDA,
193,,,10,GO,YAMAHA,NMAX
194,2007,RIO DE JANEIRO,32,,VW,
195,,PARANATAMA,22,,HONDA,CG 150 TITAN KS
196,2012,SENGES,20,PR,FIAT,
197,1991,CAMPOS DOS GOYTACAZES,42,RJ,,APOLLO GL
198,2008,,13,AL,HONDA,
199,2016,MARICA,27,RJ,HONDA,CG 160 FAN ESDI
200,1990,INHUMAS,19,GO,,CG 125 TODAY
201,2014,,22,,,
202,2007,ITAGUARI,22,GO,,GOL 1.0
203,,,48,PR,,
204,2016,CAMPO GRANDE,189,,,
205,,,23,AM,HONDA,NXR150 BROS ES
206,1981,CUIABA,44,MT,FORD,CORCEL II L
207,2006,SUMIDOURO,16,RJ,,CG 150 TITAN KS
208,2008,MURIAE,185,MG,HONDA,CG 150 TITAN KS
209,2014,,12,,,NXR150 BROS ESD
210,2012,,39,MG,,
211,,,15,GO,,CG 150 TITAN EX
212,,FORTALEZA,183,CE,,RENEGADE LNGTD AT D
213,,,22,,HONDA,NXR150 BROS ES
214,,CONSELHEIRO LAFAIETE,10,MG,YAMAHA,YBR 125ED
215,,CAMPO GRANDE,182,MS,GM,CELTA 2P LIFE
216,1999,SURUBIM,181,PE,HONDA,
217,2011,,14,PE,,
218,1993,RIO DE JANEIRO,179,RJ,FIAT,
219,2002,,10,PR,,
220,2001,NOVA SANTA ROSA,12,PR,VW,GOL SPECIAL
221,2005,RIO DE JANEIRO,178,RJ,,PICASSO 16 GLX
222,2014,,21,MG,FIAT,PALIO SPORTING 1.6
223,1976,,14,PR,VW,KOMBI
224,2004,JANAUBA,10,MG,,
225,2020,PAULO AFONSO,175,BA,HONDA,
226,2001,ANANINDEUA,14,PA,,COROLLA XEI
227,,SANTA LUZIA,174,MG,VW,GOL 1.0
228,1985,SERRA,34,ES,,FUSCA
229,,PONTA GROSSA,17,PR,NISSAN,VERSA 16 UNIQUE
230,2009,,26,GO,,BIZ 125 KS
231,2021,BOQUIM,13,SE,HONDA,CG 160 CARGO
232,1982,,15,MG,TOYOTA,BANDEIRANTE
233,1987,ANANINDEUA,35,PA,,
234,1997,RIO AZUL,17,,,CG 125 TITAN
235,2010,SETE LAGOAS,172,MG,HONDA,
236,2020,,15,,HONDA,POP 110I
237,2014,,172,PE,VW,
238,1986,,18,PR,,
239,2011,,11,PR,,
240,2008,URUARA,27,,,GOL 1.0
241,2009,GOIANIA,169,,FIAT,STRADA FIRE FLEX
242,2007,,26,,HONDA,
243,1973,PARACAMBI,12,RJ,,
244,,DOIS RIACHOS,31,AL,HONDA,CG 125 TITAN KS
245,2001,BOM JARDIM,13,MA,HONDA,
246,2015,RIO DAS OSTRAS,19,RJ,FIAT,
247,,MARABA,22,,TRAXX,JL50 Q2
248,2021,,48,RN,FIAT,SIENA 1.4
249,2016,,11,PR,FORD,
250,,GOIANIA,11,GO,PEUGEOT,206SW 16FE FXA
251,1973,,17,PR,,
252,2006,IMPERATRIZ,20,MA,VW,
253,1994,BRASILIA,13,DF,,GOL FURGAO
254,2016,UNAI,13,,FIAT,
255,2003,UBERABA,162,MG,HONDA,CG 125 TITAN KSE
256,2005,LAGOA DO ITAENGA,31,PE,,CG 150 TITAN KS
257,1988,CURITIBA,10,PR,AGRALE,SXT 16.5
258,1989,NITEROI,52,RJ,HONDA,
259,,ARAUCARIA,159,PR,,CG 125 FAN
260,2011,PONTA GROSSA,43,PR,YAMAHA,FACTOR YBR125 K
261,2012,NOVA VENECIA,44,,HONDA,
262,2015,NOVA LIMA,18,MG,,STRADA WORKING
263,2016,UBERLANDIA,41,MG,VW,
264,2009,,157,MS,,
265,1976,ITABORAI,26,RJ,,L 1113
266,2014,SALINAS,10,MG,,HB20 1M COMFOR
267,2014,MANAUS,25,AM,,
268,2008,,32,,,
269,,,30,ES,HONDA,
270,2005,CARIUS,11,CE,HONDA,C100 BIZ
271,1981,TERRA RICA,11,PR,,
272,2018,FRUTAL,14,,,YBR125I FACTOR ED
273,,,12,GO,,JL50Q-8
274,2013,,31,TO,,T115 CRYPTON ED
275,2011,,14,PR,VW,
276,,ANTONINA DO NORTE,28,CE,HONDA,CG 125 TITAN KS
277,2001,PIRAI DO SUL,23,PR,GM,CELTA
278,2006,BARRA LONGA,13,MG,HONDA,
279,2014,ALFENAS,13,,,PRISMA 1.4MT LTZ
280,,,31,,,
281,2007,,33,ES,TOYOTA,COROLLA XEI18VVT
282,2001,,33,MG,FIAT,PALIO ELX
283,,,13,,FORD,KA FLEX
284,2012,,11,PR,,VOYAGE 1.6 COMFORTL
285,2020,,10,CE,,CG 160 TITAN
286,2013,ALTAMIRA,25,PA,CHEVROLET,CELTA 1L LT
287,,,36,MG,FIAT,UNO MILLE WAY ECON
288,1997,,14,,,FORD ESCORT GLX 16V
289,2015,MAGE,41,RJ,,CB 300R
290,,CAREIRO,12,AM,HONDA,
291,2001,CAMPO GRANDE,16,AL,HONDA,CG 125 TITAN KS
292,1971,ANAPOLIS,11,,GM,
293,2016,ARARIPINA,46,PE,HONDA,
294,2011,,10,PA,SR,
295,2000,ITAMARANDIBA,12,MG,,
296,2020,CAUCAIA,12,CE,,STRADA ENDURANCE CS
297,2010,SALVADOR,144,BA,GM,
298,,PRIMAVERA DO LESTE,16,MT,,ECOSPORT XLT1.6FLEX
299,,CAMPINA GRANDE DO SUL,11,PR,,STRADA HD WK CC E
300,1992,CURITIBA,144,PR,,SANTANA GL 2000
301,2016,,144,CE,,NXR 160 BROS
302,2014,,12,MG,,
303,2011,SAO JOAO DEL REI,12,MG,DAFRA,TVS APACHE RTR 150
304,2017,,10,MG,,
305,2021,,18,RO,DAF,
306,2014,TERESOPOLIS,23,RJ,RENAULT,SANDERO STEP 16
307,,OLINDA,11,PE,JEEP,RENEGADE SPORT AT
308,2014,BELEM,20,PA,MOTO TRAXX,
309,2014,,11,,HONDA,BIZ 100 ES
310,2011,,140,RJ,,
311,2005,LAGARTO,52,SE,,
312,,ARAPONGAS,15,PR,GM,MERIVA MAXX
313,,,140,,,HB20 1M COMFOR
314,2004,,18,BA,,
315,,BRASILIA,139,DF,NISSAN,KICKS S CVT
316,2018,,12,PE,FORD,ECOSPORT FSL AT 1.5
317,,JAPERI,26,RJ,,YBR150 FACTOR ED
318,2007,VITORIA,41,ES,HONDA,BIZ 125 MAIS
319,2015,,139,CE,VW,SAVEIRO CS ST MB
320,2008,,19,MG,FIAT,PALIO FIRE FLEX
321,1997,FAZENDA RIO GRANDE,12,PR,VW,KOMBI
322,2011,BORDA DA MATA,18,,FIAT,UNO MILLE ECONOMY
323,2014,,12,BA,,STRADA WORKING CD
324,1992,BETIM,15,,FIAT,ELBA CSL 1.6
325,2003,,15,,FIAT,
326,2014,,13,PR,,
327,2012,,27,PE,HONDA,FIT TWIST
328,2008,,10,,HONDA,
329,,FORMOSA,134,GO,,
330,2013,JUTAI,18,AM,HONDA,
331,2006,GUARANTA DO NORTE,11,MT,,HUNTER 90
332,,,18,MG,GM,CORSA SEDAN MAXX
333,2006,NITEROI,18,RJ,,ECOSPORT XLT
334,2008,CASCAVEL,41,PR,,POLO SEDAN 1.6
335,,,30,BA,FORD,CARGO 1517 E
336,1996,ARAPIRACA,17,AL,FIAT,PALIO EL
337,,,12,,FIAT,
338,2012,IRATI,12,PR,HONDA,
339,2014,LAURO DE FREITAS,13,,HONDA,
340,,,11,PI,,
341,2007,BELO HORIZONTE,30,,,PUNTO 1.4
342,,BARREIRAS,26,BA,FIAT,UNO ATTRACTIVE 1.0
343,2001,,12,,VW,
344,1989,,10,PR,,
345,,,10,PE,HONDA,
346,2006,AQUIDAUANA,16,MS,FIAT,
347,1993,CAMBE,22,PR,,CG 125 TODAY
348,1977,CARMO DO CAJURU,11,MG,VW,BRASILIA
349,,,10,RJ,,
350,2003,,35,,GM,CORSA CLASSIC
351,2018,,128,SE,FIAT,
352,1984,GOVERNADOR VALADARES,10,MG,FORD,
353,2005,MIMOSO DO SUL,20,ES,HONDA,CG 150 TITAN KS
354,2016,,127,DF,,VERSA 16SV CVT
355,,DIVINO DE SAO LOURENCO,10,ES,HONDA,CG 125 TITAN
356,2010,,12,CE,HONDA,NXR150 BROS MIX ES
357,2005,AFOGADOS DA INGAZEIRA,31,PE,HONDA,CG 125 FAN
358,2007,CAMPOS DOS GOYTACAZES,125,,,
359,2013,UNAI,16,MG,HONDA,
360,2001,,24,MG,YAMAHA,
361,2008,,15,GO,FORD,FIESTA 1.6 FLEX
362,,,23,PE,,CELTA 1L LS
363,2007,,32,CE,HONDA,
364,,CONSELHEIRO LAFAIETE,15,MG,VW,
365,2008,RIACHO DE SANTANA,13,BA,JTA,SUZUKI EN125 YES
366,2012,MOSSORO,29,,,
367,2020,,11,MS,,
368,2016,SERRA,28,,,
369,2002,,123,MS,SR,RANDON SR CA
370,2021,,20,RO,,
371,1981,,122,AM,,
372,2017,,11,PE,,
373,2007,,16,PR,,NXR150 BROS ES
374,1998,,121,CE,HONDA,CG 125 TITAN
375,2017,,12,MG,CHEVROLET,ONIX 1MT LT
376,2008,,121,ES,HONDA,CG 150 TITAN ES
377,1986,NOVA FRIBURGO,10,RJ,,147
378,,,10,,,
379,1987,BETIM,14,MG,GM,
380,1991,TANGUA,15,,,GOL CL
381,,NOVA IGUACU,119,RJ,,
382,2020,MANAUS,119,AM,CHEVROLET,
383,1988,NATAL,14,RN,,CB 450 DX
384,2011,URUACU,19,GO,VW,GOLF 1.6 SPORTLINE
385,1998,,15,ES,,BLAZER DLX
386,2008,CAPELA DO ALTO ALEGRE,47,,HONDA,CG 125 FAN
387,,,13,CE,,BIZ 125 KS
388,1995,PAICANDU,13,PR,,VW GOLF GL
389,,,30,,VW,FUSCA 1500
390,2018,RIO BRANCO,118,,,
391,2002,,37,RJ,VW,KOMBI
392,1993,CASTELO DO PIAUI,10,PI,GM,D20 CUSTOM S
393,1988,BAIXO GUANDU,10,,,XL 125 S
394,2008,PAU DOS FERROS,27,RN,,CELTA 4P LIFE
395,2005,SAO DOMINGOS DO MARANHAO,26,MA,,CG 125 FAN
396,2004,ARACATI,20,CE,,GOL 1.0
397,2005,ALMIRANTE TAMANDARE,10,,GM,ASTRA HB 2P ADVANTAGE
398,2010,LONDRINA,21,PR,HONDA,
399,1983,CANDEIAS,11,BA,,
400,2006,ITAPIPOCA,24,CE,VW,
401,1983,,115,RJ,VW,VOYAGE
402,2009,,19,GO,HONDA,CG150 TITAN MIX EX
403,,JUIZ DE FORA,15,MG,DODGE,
404,2004,NOVO PROGRESSO,37,PA,,
405,,NEPOMUCENO,36,MG,,
406,,CARIACICA,16,ES,,HB20 1.6M COMF
407,2011,CURVELO,13,MG,VW,FOX 1.6 GII
408,2011,NATAL,113,RN,HONDA,
409,,MACEIO,113,AL,,CLASSIC
410,2002,,12,RO,,
411,,AFONSO CLAUDIO,13,ES,HONDA,C100 BIZ ES
412,2003,RIO LARGO,43,,HONDA,CG 125 TITAN KS
413,2007,JUIZ DE FORA,20,MG,GM,
414,1993,,11,RJ,,
415,,SAO JOSE DE MIPIBU,10,RN,VW,NOVO GOL 1.0
416,2004,,36,,,
417,1994,DOMINGOS MARTINS,10,ES,,KOMBI
418,1992,,112,PR,,
419,2014,PONTA GROSSA,37,PR,CHEVROLET,
420,1996,CAFELANDIA,17,,GM,VECTRA GLS
421,,,22,ES,VOLVO,FH 440 6X2T
422,1996,POCOS DE CALDAS,14,MG,,FIORINO IE
423,2010,SANTA MARIANA,12,PR,,CLASSIC LS
424,2000,,13,GO,HONDA,CG 125 TITAN KS
425,1983,BETIM,24,MG,VW,PARATI
426,,,29,MA,HONDA,
427,2018,ANGRA DOS REIS,13,RJ,YAMAHA,NMAX
428,2014,,15,RJ,CHEVROLET,CRUZE LT NB
429,2001,,27,GO,M.BENZ,A 160
430,2017,RIO VERDE,110,GO,HONDA,CG 160 FAN ESDI
431,,,25,CE,FORD,
432,1988,,11,MG,YAMAHA,DT 180 Z
433,1998,,110,RO,HONDA,CG 125 TITAN
434,,SAO GONCALO,25,RJ,VW,
435,1983,PARAGUACU,17,MG,,
436,2006,,34,PR,,CORSA HATCH MAXX
437,2009,BONITO,13,PE,GM,
438,2011,,37,,,207PASSION XR
439,2004,,21,PR,GM,VECTRA EXPRESSION
440,,TEIXEIRA DE FREITAS,10,,CHEVROLET,ONIX 1.4AT LTZ
441,1992,CONTAGEM,36,,VW,
442,2000,CAMPOS SALES,108,CE,HONDA,CG 125 TITAN KS
443,2012,LAGARTO,108,,HONDA,
444,2014,CACHOEIRO DE ITAPEMIRIM,18,ES,VW,
445,,AGUA BRANCA,107,PI,,
446,,CODO,107,MA,HONDA,BIZ 100 ES
447,1996,NOVO GAMA,17,GO,GM,CORSA GL
448,2004,MONTE ALEGRE,14,,FIAT,PALIO FIRE
449,,PENTECOSTE,25,CE,,BIZ 125 KS
450,2006,,37,RN,,NXR150 BROS ESD
451,,CORUMBA,32,,FORD,KA FLEX
452,2021,WENCESLAU BRAZ,32,,SR,
453,2012,SANTO ANTONIO DO MONTE,12,MG,FIAT,SIENA EL 1.4 FLEX
454,,,104,MG,FIAT,PALIO FIRE ECONOMY
455,2007,CASTELO,10,,,
456,1982,,104,MS,HONDA,
457,2000,PETROLINA,104,,HONDA,
458,,,35,GO,VOLVO,
459,2014,,11,BA,VW,
460,2015,,34,TO,CHEVROLET,
461,,,12,PE,,CG 125
462,2021,,10,GO,JEEP,RENEGADE 1.8 AUTOM.
463,2013,SAO LUIS,40,MA,,HB20S 1.6A PREM
464,2020,BRASILIA,45,DF,FIAT,FIORINO 1.4 FLEX
465,2009,,20,,FIAT,
466,2013,FEIRA DE SANTANA,14,BA,CHEVROLET,ONIX 1.4AT LTZ
467,1996,FORTALEZA,28,CE,,TEMPRA 16V
468,2010,TANGARA DA SERRA,18,MT,,CG150 FAN ESDI
469,1996,APARECIDA DE GOIANIA,102,GO,FIAT,PALIO ED
470,2019,,17,PR,,VIRTUS HL AD
471,2021,XINGUARA,33,PA,,
472,,ABAETE,10,MG,,UNO CS
473,,,11,,HONDA,BIZ 125 ES
474,1978,RIO DE JANEIRO,100,RJ,FORD,
475,2002,,18,MS,YAMAHA,YBR 125ED
476,2012,BARRA DE GUABIRABA,17,PE,HONDA,POP100
477,2006,IPANEMA,28,MG,VW,
478,,,11,PR,,SANTANA
479,1995,PRESIDENTE KENNEDY,14,,,GOL 1000I
480,2003,MARAVILHA,10,AL,HONDA,CG 125 TITAN KSE
481,2008,VITORIA,10,ES,GM,MERIVA PREMIUM
482,2008,MANAUS,11,,FIAT,
483,2016,MAUES,14,AM,,CG 160 TITAN EX
484,1981,,11,GO,FORD,CORCEL II L
485,,ARAPIRACA,14,AL,YAMAHA,
486,2005,ARCOS,11,MG,VW,FOX 1.0
487,2001,,26,MG,VW,
488,2013,GOIANIA,97,,,
489,,,97,RJ,,CG 160 START
490,2009,PARAUAPEBAS,18,PA,HONDA,
491,1998,,10,ES,FIAT,PALIO ELX
492,1982,,97,RJ,,
493,1995,MARABA,35,,GM,CORSA WIND
494,2014,RIBEIRA DO POMBAL,21,,HONDA,
495,,CANAPOLIS,10,MG,,
496,2005,,12,RJ,FIAT,STRADA FIRE
497,2016,,10,MG,FIAT,
498,2005,,12,RO,,
499,2010,MARICA,10,RJ,HONDA,
500,2011,CURITIBA,96,PR,,
501,2005,ARAGUARI,14,MG,,
502,1987,,12,AC,,
503,,,94,PR,FORD,FIESTA FLEX
504,,,10,,FIAT,UNO MILLE FIRE FLEX
505,2010,CURITIBA,15,,MMC,PAJERO HD
506,2021,,17,MS,RENAULT,LOGAN ZEN10MT
507,,,20,PA,VW,POLO MCA
508,2015,,10,PE,HONDA,POP100
509,1980,,28,,VW,VARIANT II
510,2000,COLORADO,10,,,
511,2006,,10,MG,VW,FOX 1.0
512,,,21,,HONDA,NXR150 BROS ES
513,,,12,,,
514,2021,GOIANIA,34,GO,,RENEGADE MOAB
515,2016,CEARA-MIRIM,21,RN,HONDA,
516,2006,APARECIDA DE GOIANIA,92,,,HUNTER 90
517,,,12,,HONDA,NXR 160 BROS
518,2013,,19,MA,,CG 125 FAN ESD
519,2009,CORUMBA,32,MS,FIAT,PALIO FIRE ECONOMY
520,2011,ILICINEA,13,,,
521,,FORTALEZA,16,CE,,HERCULES C
522,2010,SARANDI,11,PR,TOYOTA,
523,1983,PIUMHI,10,MG,,
524,2012,JACUNDA,91,PA,,NXR150 BROS ES
525,2018,MANARI,11,PE,,
526,2017,SAO JOSE DOS PINHAIS,24,PR,JEEP,
527,1998,,90,PE,HONDA,CG 125 CARGO
528,2013,CALDAS NOVAS,90,GO,,
529,2013,TORITAMA,16,,VW,
530,2015,,10,ES,,KA SEL 1.5 SD
531,2019,SALVADOR,13,,MAN,TGX 29.480 6X4 T
532,1985,SAO JOSE DOS PINHAIS,38,PR,VW,FUSCA 1600
533,2011,,89,PR,HONDA,
534,2011,DIVINOPOLIS,89,MG,,UNO VIVACE 1.0
535,2019,,10,MG,HYUNDAI,
536,2003,,11,PR,,
537,,,11,MG,HONDA,XR 200R
538,2009,,31,MG,VW,
539,2015,,89,BA,NISSAN,
540,,CUIABA,23,MT,HONDA,
541,2005,,14,,,
542,1999,CARUARU,11,,YAMAHA,CRYPTON T105E
543,2000,MARMELEIRO,15,PR,,
544,1997,PETROPOLIS,49,RJ,GM,CORSA GL
545,,TURVANIA,10,GO,,BIZ 125
546,2007,,16,MG,,FOX 1.0
547,1983,DIVINOPOLIS,88,MG,,147
548,2000,,11,MT,,GUERRA AG GR
549,2015,,32,MG,YAMAHA,
550,,ANDRADAS,10,,,
551,1996,RIO DE JANEIRO,20,RJ,,FORD VERONA 2I S
552,1991,CURITIBA,17,PR,GM,
553,1985,RIO DE JANEIRO,14,RJ,GM,CHEVETTE HATCH SL
554,2011,,49,AC,VW,
555,,BETIM,25,,FIAT,
556,,BOTUPORA,15,BA,VW,GOL 1.0
